Generated_ParticipantID,UserLanguage,1,1_8_TEXT,2,3,4,Q63,5,6,7,7_7_TEXT,8,9,10,10_8_TEXT,11,11_6_TEXT,12,13,QID53,QID54,14_1,14_2,14_3,15,QID94,QID95,16,16_12_TEXT,17,18,18_11_TEXT,19,20,20_9_TEXT,21,21_9_TEXT,22,23,24,24_6_TEXT,25,25_7_TEXT,29,31,33_Collapsed,34,Q35_City,,
R_3FQGUvWJLjIPEwX,EN,"Neighborhood beautification,Improved air quality,Improved stormwater quality",,"A drainage ditch nearby,A creek nearby",(1) Lake Houston Flatwood Wetlands,"Yes, I think they impact flooding in my community",Drought,Often – (At least once a month),Often – (At least once a month),"Heavy rainfall or storms,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Increased development or urbanization",,"More than $20,000","Above the knee (e.g., over 12 inches)","Mental health impact (e.g., anxiety, trauma, stress),Prevented or delayed access to essential services (e.g., health care, groceries, travel, work)",,"Installed flood barriers or sandbags around my property,Requested assistance from local government (e.g., city, county) to improve drainage",,Permeable pavement,Permeable pavement,Pocket wetland,Wetland restoration (inland or coastal),1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important",Houston Galveston Area Council (HGAC),,Above average trust,"High installment costs,Lack of educational resources for the community",,Very satisfied,"Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations (e.g., environmental justice communities)",,"Involving local schools and community groups,Providing resources for community action (e.g., participation opportunities, educational programs, technical training)",,I participate in most meetings,Very involved,"West Street Recovery (WSR),Coalition for Environment, Equity and Resilience (CEER)",,Instagram Posts,,No,11-20 years,Moderate (50k-<150k),I own my home.,Houston,,
R_3e9Kgwr62dWU9Ta,EN,"Neighborhood beautification,Increased property value,Recreation (e.g., fishing, bird watching, walking)",,"Long-standing water bodies,Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets)",(2) Greater Lake Creek,"Yes, I think they impact flooding in my community",Drought,Often – (At least once a month),Often – (At least once a month),"Blocked or clogged drainage systems,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Nearby river, creek, or bayou overflowing",,"$5,000 - $10,000","Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Property damage (e.g., vehicle damage, home repairs),Increased cost for repairs or flood proofing (e.g., more expensive flood insurance premiums)",,"Installed flood barriers or sandbags around my property,Requested assistance from local government (e.g., city, county) to improve drainage,Engaged with local authorities around flooding issues",,"Pocket wetland,Wetland conservation",Rain garden,"Nature-based detention pond,Pocket wetland","Large park,Wetland conservation,Wetland restoration (inland or coastal)",3,2,1,"Yes, it is important","Yes, it is important","Yes, it is important","City of Houston, and other Municipalities (Municipal Utility District MUDs)",,Extreme trust,There are no concerns,,There is no information available,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations (e.g., environmental justice communities),Improved use of technology (e.g., apps, websites) for flood risk information",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Providing resources for community action (e.g., participation opportunities, educational programs, technical training),Compensation for time (e.g., money, gift cards)",,I participate in most meetings,Extremely involved,My local neighborhood association or homeowners association (HOA),,Community bulletin posts,,No,Over 20 years,High (≥150k),I own my home.,Houston,,
R_6OBnQoAU7qvhJu5,EN,"Improved air quality,Improved stormwater quality,Improved soil quality",,"Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),A creek nearby,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,"Yes, I think they impact flooding in my community",Drought,Often – (At least once a month),Sometimes – (once every 2-6 months),"Heavy rainfall or storms,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Aging infrastructure (e.g., not in compliance–out of date)",,"$1,000 - $5,000","Above the knee (e.g., over 12 inches)","Property damage (e.g., vehicle damage, home repairs),Prevented or delayed access to essential services (e.g., health care, groceries, travel, work),Interruption of utility services (e.g., power outages, water supply)",,"Installed flood barriers or sandbags around my property,Engaged with local authorities around flooding issues",,"Bioswale,Nature-based detention pond,Rainwater harvesting,Wetland conservation","Bioswale,Permeable pavement","Nature-based detention pond,Pocket wetland","Wetland conservation,Wetland restoration (inland or coastal)",3,2,1,"Yes, it is important","Yes, it is important","Yes, it is important",State of Texas,,Above average trust,"Attracting unwanted pests,High installment costs,Maintenance issues",,Very satisfied,"More detailed information about flood preparedness,Better access to emergency resources and assistance,Improved use of technology (e.g., apps, websites) for flood risk information",,"Establishing community advisory boards,Providing resources for community action (e.g., participation opportunities, educational programs, technical training)",,I participate in most meetings,Very involved,My local neighborhood association or homeowners association (HOA),,Facebook Posts,,No,6-10 years,Moderate (50k-<150k),I own my home.,Houston,,
R_67ytmEQgALRl8at,EN,"Neighborhood beautification,Improved air quality,Recreation (e.g., fishing, bird watching, walking)",,"Long-standing water bodies,A drainage ditch nearby,Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets)",(2) Greater Lake Creek,"Yes, I think they impact flooding in my community",Drought,Always – (every time it rains),Often – (At least once a month),"Blocked or clogged drainage systems,Aging infrastructure (e.g., not in compliance–out of date),Increased development or urbanization",,"More than $20,000","Above the knee (e.g., over 12 inches)","Property damage (e.g., vehicle damage, home repairs),Prevented or delayed access to essential services (e.g., health care, groceries, travel, work),Increased cost for repairs or flood proofing (e.g., more expensive flood insurance premiums)",,"Installed flood barriers or sandbags around my property,Engaged with local authorities around flooding issues,Only my landlord can take action to address or reduce flooding at my residence",,"Bioswale,Pocket wetland,Wetland conservation","Bioswale,Rainwater harvesting","Nature-based detention pond,Pocket prairie","Large park,Wetland restoration (inland or coastal)",3,1,2,"Yes, it is important","Yes, it is important","Yes, it is important",Gulf Coast Protection District (GCPD),,Above average trust,"Attracting unwanted pests,Displacement due to environmental projects (e.g., gentrification or green gentrification),Maintenance issues",,Extremely satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,More targeted outreach to vulnerable populations (e.g., environmental justice communities)",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Providing resources for community action (e.g., participation opportunities, educational programs, technical training),Providing multilingual interpretation services",,I participate in most meetings,Very involved,"West Street Recovery (WSR),Northeast Action Collective (NAC)",,Instagram Posts,,No,Over 20 years,High (≥150k),I own my home.,Houston,,
R_11f8RBBpgDmBx4Z,EN,"Neighborhood beautification,Improved air quality,Improved stormwater quality",,"Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets)",(1) Lake Houston Flatwood Wetlands,"No, I do not think they impact flooding in my community",Drought,Sometimes – (once every 2-6 months),Sometimes – (once every 2-6 months),"Blocked or clogged drainage systems,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size)",,"$5,000 - $10,000","Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Property damage (e.g., vehicle damage, home repairs),Loss of work or income",,"Installed flood barriers or sandbags around my property,Requested assistance from local government (e.g., city, county) to improve drainage",,"Nature-based detention pond,Permeable pavement","Permeable pavement,Rain garden",Pocket prairie,Wetland conservation,1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important","City of Houston, and other Municipalities (Municipal Utility District MUDs)",,Extreme trust,"Equity in implementation–areas that need it most may not get first priority,Displacement due to environmental projects (e.g., gentrification or green gentrification)",,Extremely satisfied,"More detailed information about flood preparedness,Better access to emergency resources and assistance",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Establishing community advisory boards",,I occasionally participate in meetings,Moderately involved,"Coalition for Environment, Equity and Resilience (CEER),Northeast Action Collective (NAC)",,Facebook Posts,,No,11-20 years,Moderate (50k-<150k),I own my home.,Houston,,
R_1r1CF5u0Abzztc2,EN,"Neighborhood beautification,Improved air quality,Improved soil quality",,"Long-standing water bodies,Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets)",(2) Greater Lake Creek,"Yes, I think they impact flooding in my community",Drought,Often – (At least once a month),Often – (At least once a month),"Heavy rainfall or storms,Blocked or clogged drainage systems,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size)",,"$10,000 - $20,000","Less than or at ankle level (e.g., under 3 inches)","Property damage (e.g., vehicle damage, home repairs)",,Installed flood barriers or sandbags around my property,,Bioswale,Bioswale,Nature-based detention pond,Wetland conservation,1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important","City of Houston, and other Municipalities (Municipal Utility District MUDs)",,Extreme trust,Attracting unwanted pests,,Extremely satisfied,More frequent updates on local flood risks,,"Better information sharing (e.g., more frequent announcements, different forms of communication)",,I participate in all meetings,Extremely involved,West Street Recovery (WSR),,Facebook Posts,,No,Over 20 years,Moderate (50k-<150k),I own my home.,Houston,,
R_5BVgxiBlwGjhOBm,EN,"Neighborhood beautification,Improved stormwater quality,Improved soil quality",,"Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),A drainage ditch nearby,Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets)",(3) Greater Katy Prairie-Pothole Pimple-Mound Complexes,"Yes, I think they impact flooding in my community",Drought,Often – (At least once a month),Often – (At least once a month),"Blocked or clogged drainage systems,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Increased development or urbanization",,"$5,000 - $10,000","Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Mental health impact (e.g., anxiety, trauma, stress),Prevented or delayed access to essential services (e.g., health care, groceries, travel, work)",,"Installed flood barriers or sandbags around my property,Requested assistance from local government (e.g., city, county) to improve drainage",,"Bioswale,Large park,Permeable pavement","Permeable pavement,Rain garden",Pocket prairie,Wetland restoration (inland or coastal),2,1,3,"Yes, it is important","Yes, it is important","Yes, it is important",Harris County Flood Control District (HCFCD),,Above average trust,"Displacement due to environmental projects (e.g., gentrification or green gentrification),Increased taxes",,Very satisfied,"More detailed information about flood preparedness,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies",,"Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action (e.g., participation opportunities, educational programs, technical training)",,I participate in most meetings,Very involved,"West Street Recovery (WSR),Coalition for Environment, Equity and Resilience (CEER)",,Facebook Posts,,No,6-10 years,Moderate (50k-<150k),I own my home.,Houston,,
R_1k5WODNdwKFZ8t3,EN,"Improved air quality,Improved soil quality",,"Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),A drainage ditch nearby",(2) Greater Lake Creek,"Yes, I think they impact flooding in my community",Drought,Sometimes – (once every 2-6 months),Sometimes – (once every 2-6 months),"Blocked or clogged drainage systems,Aging infrastructure (e.g., not in compliance–out of date),Increased development or urbanization",,"$1,000 - $5,000","Less than or at ankle level (e.g., under 3 inches)","Displacement from home (e.g., temporary relocation),Interruption of utility services (e.g., power outages, water supply)",,"Requested assistance from local government (e.g., city, county) to improve drainage,Engaged with local authorities around flooding issues",,"Pocket prairie,Pocket wetland,Rain garden","Permeable pavement,Rain garden","Pocket prairie,Pocket wetland","Wetland conservation,Wetland restoration (inland or coastal)",1,2,3,"Yes, it is important","Yes, it is important","No, it is not important",State of Texas,,Moderate trust,"High installment costs,Increased taxes,Lack of educational resources for the community",,Very satisfied,"Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies",,"Involving local schools and community groups,Compensation for time (e.g., money, gift cards),Host more regular and diverse community meetings representative of the community",,I participate in most meetings,Somewhat involved,"Coalition for Environment, Equity and Resilience (CEER),Northeast Action Collective (NAC)",,Facebook Posts,,No,11-20 years,Moderate (50k-<150k),I own my home.,Houston,,
R_7usV7m1o1hoUugF,EN,"Neighborhood beautification,Improved air quality,Increased property value",,"Long-standing water bodies,Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),A drainage ditch nearby",(1) Lake Houston Flatwood Wetlands,"Yes, I think they impact flooding in my community",Drought,Sometimes – (once every 2-6 months),Sometimes – (once every 2-6 months),"Heavy rainfall or storms,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Nearby river, creek, or bayou overflowing",,"$5,000 - $10,000","Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Property damage (e.g., vehicle damage, home repairs),Loss of work or income,Displacement from home (e.g., temporary relocation),Interruption of utility services (e.g., power outages, water supply)",,"Installed flood barriers or sandbags around my property,Requested assistance from local government (e.g., city, county) to improve drainage,Only my landlord can take action to address or reduce flooding at my residence",,"Nature-based detention pond,Permeable pavement,Pocket wetland,Urban forestry","Bioswale,Rain garden",Pocket wetland,"Large park,Wetland restoration (inland or coastal)",1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important","City of Houston, and other Municipalities (Municipal Utility District MUDs)",,Extreme trust,"Equity in implementation–areas that need it most may not get first priority,High installment costs,Not fitting into community look/aesthetic",,Very satisfied,"More detailed information about flood preparedness,Increased opportunities for community feedback,Improved use of technology (e.g., apps, websites) for flood risk information",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Providing resources for community action (e.g., participation opportunities, educational programs, technical training),Host more regular and diverse community meetings representative of the community",,I rarely participate in meetings,Very involved,"West Street Recovery (WSR),Northeast Action Collective (NAC)",,Phone Calls,,No,11-20 years,High (≥150k),I own my home.,Houston,,
R_1F4cOTfqw6VcuXu,EN,"Neighborhood beautification,Increased property value,Stress reduction",,"Long-standing water bodies,A drainage ditch nearby,Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets)",(4) Trans-Brazos Region,"Yes, I think they impact flooding in my community",Drought,Sometimes – (once every 2-6 months),Sometimes – (once every 2-6 months),"Heavy rainfall or storms,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Nearby river, creek, or bayou overflowing",,Less than $500,"Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Mental health impact (e.g., anxiety, trauma, stress),Prevented or delayed access to essential services (e.g., health care, groceries, travel, work),Increased cost for repairs or flood proofing (e.g., more expensive flood insurance premiums)",,"Raised the foundation of my house,Requested assistance from local government (e.g., city, county) to improve drainage,Only my landlord can take action to address or reduce flooding at my residence",,"Nature-based detention pond,Permeable pavement,Rainwater harvesting,Wetland restoration (coastal or inland)","Permeable pavement,Rainwater harvesting",Nature-based detention pond,Large park,1,2,3,"No, it is not important","Yes, it is important","Yes, it is important",Harris County Flood Control District (HCFCD),,Above average trust,"Equity in implementation–areas that need it most may not get first priority,High installment costs,Maintenance issues",,Very satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies,Improved use of technology (e.g., apps, websites) for flood risk information",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Involving local schools and community groups,Compensation for time (e.g., money, gift cards)",,I occasionally participate in meetings,Somewhat involved,"Bayou City Waterkeeper (BCWK),Northeast Action Collective (NAC),My local neighborhood association or homeowners association (HOA)",,Community bulletin posts,,No,11-20 years,Low (<50k),I rent my home.,Houston,,
