Language,Generated_ParticipantID,Duration (in seconds),Q1,Q1_Other,Q2,Q3,Q4,Q5,Q6,Q7,Q7_Other,Q8,Q9,Q10,Q10_Other,Q11,Q11_Other,Q12,Q13_Small,Q13_Mid,Q13_Large,Q14_Small,Q14_Mid,Q14_Large,Q15_Local,Q15_State,Q15_Federal,Q16,Q16_Other,Q17,Q18,Q18_Other,Q19,Q20,Q20_Other,Q21,Q21_Other,Q22,Q23,Q24,Q24_Other,Q25,Q25_Other,Q26,Q26_Other,Q27,Q27_Number,Q28,Q28_Other,Q29,Q30,Q31,Q32,Q33,Q34,Q35_City,Q35_Zip
Spanish,10694272,6256,"Improved air quality,Improved stormwater quality,Recreation",,"Long-standing water bodies,Aquatic (water) plants,Wildlife commonly found near water,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Never,Rarely (once a year or less),"Heavy rainfall or storms,Blocked or clogged drainage systems,Increased development or urbanization",,I do not know,Less than or at ankle level,"Mental health impact,Prevented or delayed access to essential services,Increased cost for repairs or flood proofing",,Requested assistance from local government to improve drainage,,"Nature-based detention pond,Large park","Permeable pavement,Rain garden,Rainwater harvesting","Nature-based detention pond,Pocket prairie,Pocket wetland","Large park,Wetland conservation,Wetland restoration (inland or coastal)",3,2,1,I don't know,I don't know,Yes,I do not know,,No trust,"Equity in implementation,High installment costs,Increased taxes,Maintenance issues",,Not at all satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Compensation for time",,I rarely attend meetings,Somewhat involved,Northeast Action Collective (NAC),,Community bulletin posts,,From a neighbor,,Please type a number,54,Prefer not to answer,,Yes,I live in a non-English proficient household,11-20 years,High school diploma or equivalent,$15000-$24999,I own my home.,Houston,77028
English,42039934,14431,"Neighborhood beautification,Improved stormwater quality,Recreation",,"Aquatic (water) plants,A creek nearby",(2) Greater Lake Creek,I do not know,Rarely (once a year or less),Sometimes (once every 2-6 months),Heavy rainfall or storms,,$10000-$20000,Above the knee,Loss of work or income,,Requested assistance from local government to improve drainage,,"Large park,Pocket wetland,Urban forestry",Permeable pavement,Urban forestry,Large park,,,3,No,Yes,I don't know,State of Texas,,Above average trust,"Lack of educational resources for the community,Space requirements",,Moderately satisfied,Better access to emergency resources and assistance,,Better information sharing,,I occasionally attend meetings,Very involved,"Coalition for Environment, Equity and Resilience (CEER)",,Newspaper articles/Flyers,,From a family member,,Please type a number,51,Prefer not to answer,,No,Prefer not to answer,11-20 years,High school diploma or equivalent,$10000-$14999,I rent my home.,Houston,77026
Spanish,13255882,1860,"Improved air quality,Improved stormwater quality,Recreation",,"Aquatic (water) plants,A creek nearby,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Always (every time it rains),Always (every time it rains),"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,I do not know,Between ankle and knee level,Mental health impact,,I have not taken any measures to address or reduce flooding,,Bioswale,Bioswale,"Pocket prairie,Urban forestry",Large park,2,,,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,,Attracting unwanted pests,,Slightly satisfied,More frequent updates on local flood risks,,Compensation for time,,I attend all meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues,,Facebook Posts,,From an advertisement,,Please type a number,52,White,,Yes,Prefer not to answer,11-20 years,Less than a high school diploma or equivalent,$10000-$14999,I rent my home.,Houston,77091
English,48041602,1044,"Improved stormwater quality,Increased property value,Stress reduction",,,I am not sure which critical wetland is located upstream of me.,Yes,Never,,Blocked or clogged drainage systems,,$0 ,Less than or at ankle level,Interruption of utility services,,Only my landlord can take action to address or reduce flooding at my residence,,I have not seen any of the GSI examples in my community,I prefer not to implement small-scale GSI in my community,Nature-based detention pond,I prefer not to implement large-scale GSI in my community,,2,,No,No,I don't know,I do not know,,Moderate trust,There are no concerns,,Very satisfied,More detailed information about flood preparedness,,Better information sharing,,There are no meetings available related to this topic,Somewhat involved,My local neighborhood association or homeowners association (HOA),,Newspaper articles/Flyers,,From a neighbor,,Please type a number,50,Black or African American,,No,None of the above,Over 20 years,Less than a high school diploma or equivalent,<$10000,I rent my home.,Houston,77020
English,47784174,2263,"Neighborhood beautification,Increased property value,Other:",Upcoming community ,"Long-standing water bodies,A drainage ditch nearby,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Always (every time it rains),Always (every time it rains),"Blocked or clogged drainage systems,Nearby waterways overflowing,Other:",Street is NOT level there for the water does NOT go towards the drains. It stays setting in front of my house. I myself & neighbors have to push the water towards the drainage W/a push broom. ,I do not know,Less than or at ankle level,Prefer not to answer,,Prefer not to answer,,Nature-based detention pond,Rain garden,Nature-based detention pond,"Large park,Wetland conservation",,,3,Yes,Yes,Yes,I do not know,,Slight trust,"Attracting unwanted pests,High installment costs,Increased taxes,Lack of educational resources for the community,Maintenance issues",,Slightly satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,Increased opportunities for community feedback",,"Better information sharing,Providing resources for community action,Host more regular and diverse community meetings representative of the community",,I attend most meetings,Not at all involved,My local neighborhood association or homeowners association (HOA),,Newspaper articles/Flyers,,From a neighbor,,Please type a number,43,"American Indian or Alaska Native,Other:",,Yes,None of the above,Prefer not to answer,High school diploma or equivalent,Prefer not to answer,I own my home.,Houston,77028
English,8434794,1729,"Neighborhood beautification,Improved air quality,Improved soil quality",,"Aquatic (water) plants,A creek nearby,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,No,Never,Never,Not applicable (neighborhood does not flood),,$0 ,Not applicable (no experiences with flooding),I have not experienced any of these events,,Raised the foundation of my house,,"Nature-based detention pond,Large park,Permeable pavement","Bioswale,Permeable pavement,Rain garden",Pocket wetland,Wetland restoration (inland or coastal),,1,,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Moderate trust,There are no concerns,,Very satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,More targeted outreach to vulnerable populations",,"Better information sharing,Involving local schools and community groups,Providing resources for community action,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,I occasionally attend meetings,Not at all involved,"Coalition for Environment, Equity and Resilience (CEER)",,Phone Calls,,From a family member,,Please type a number,35,Black or African American,,No,None of the above,Over 20 years,High school diploma or equivalent,$35000-$49999,I do not rent or own my home.,Houston,77020
Spanish,342995,9351,"Improved air quality,Improved stormwater quality,Improved soil quality",,"Aquatic (water) plants,Wildlife commonly found near water,Consistently-saturated soil",(2) Greater Lake Creek,No,Always (every time it rains),Never,Heavy rainfall or storms,,$500-$1000,Not applicable (no experiences with flooding),Interruption of utility services,,Only my landlord can take action to address or reduce flooding at my residence,,Large park,Rainwater harvesting,Nature-based detention pond,Large park,1,,,Yes,Yes,Yes,Texas Commission on Environmental Quality (TCEQ),,Extreme trust,Displacement due to environmental projects,,Slightly satisfied,Better access to emergency resources and assistance,,Providing resources for community action,,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Community bulletin posts,,From a co-worker,,Please type a number,35,White,,Yes,I live in a non-English proficient household,1-5 years,Less than a high school diploma or equivalent,<$10000,I do not rent or own my home.,Houston,77093
Spanish,41915680,2510,"Neighborhood beautification,Improved stormwater quality,Recreation",,,I am not sure which critical wetland is located upstream of me.,Yes,Rarely (once a year or less),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Inadequate stormwater infrastructure size,Increased development or urbanization",,$1000-$5000,Between ankle and knee level,"Property damage,Loss of work or income,Increased cost for repairs or flood proofing",,Installed flood barriers or sandbags around my property,,I have not seen any of the GSI examples in my community,Rainwater harvesting,Nature-based detention pond,"Large park,Wetland conservation",1,2,3,Yes,Yes,Yes,Texas Commission on Environmental Quality (TCEQ),,Above average trust,Increased taxes,,Moderately satisfied,"Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies,Improved translation and accessibility information for non-English speakers",,"Establishing community advisory boards,Providing resources for community action",,There are no meetings available related to this topic,Somewhat involved,Northeast Action Collective (NAC),,Newspaper articles/Flyers,,From a neighbor,,Please type a number,45,Other:,Hispanic/Latino,Yes,None of the above,11-20 years,Associate's Degree or Technical Degree/Certification,$35000-$49999,I own my home.,Houston,77022
English,24478795,1209,"Improved air quality,Improved stormwater quality,Stress reduction",,A drainage ditch nearby,I am not sure which critical wetland is located upstream of me.,Yes,Always (every time it rains),Always (every time it rains),"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$1000-$5000,Less than or at ankle level,"Property damage,Mental health impact,Displacement from home,Prevented or delayed access to essential services,Interruption of utility services,Increased cost for repairs or flood proofing",,Only my landlord can take action to address or reduce flooding at my residence,,Permeable pavement,Rain garden,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,2,1,3,Yes,Yes,Yes,State of Texas,,Slight trust,"Attracting unwanted pests,Displacement due to environmental projects,Increased taxes,Lack of educational resources for the community,Maintenance issues,Space requirements",,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,Improved use of technology for flood risk information",,"Better information sharing,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community",,There are no meetings available related to this topic,Somewhat involved,My local neighborhood association or homeowners association (HOA),,Newspaper articles/Flyers,,From a family member,,Please type a number,63,Black or African American,,No,I have a disability,Over 20 years,Less than a high school diploma or equivalent,<$10000,I rent my home.,Houston,77026
Spanish,49198901,1540,"Improved air quality,Improved soil quality",,"Long-standing water bodies,A drainage ditch nearby",(1) Lake Houston Flatwood Wetlands,Yes,Always (every time it rains),Often (At least once a month),"Increased development or urbanization,Nearby waterways overflowing",,$10000-$20000,Above the knee,"Loss of work or income,Mental health impact",,"Raised the foundation of my house,Installed flood barriers or sandbags around my property",,"Large park,Pocket wetland,Wetland restoration (coastal or inland)","Permeable pavement,Rainwater harvesting",I prefer not to implement mid-scale GSI in my community,Large park,,,3,Yes,Yes,Yes,Texas Water Development Board (TWDB),,No trust,"Increased taxes,Space requirements",,Slightly satisfied,"More frequent updates on local flood risks,Enhanced coordination with other local organizations/agencies",,"Compensation for time,Providing multilingual interpretation services",,I occasionally attend meetings,Somewhat involved,My local neighborhood association or homeowners association (HOA),,Newspaper articles/Flyers,,,,Please type a number,60,Other:,Hispanic/Latino,Yes,I live in a non-English proficient household,Over 20 years,Less than a high school diploma or equivalent,$15000-$24999,I own my home.,Houston,77078
